Syllable	Or1	Or2	Or3	SyllableAudioName	Duration
ndiin	ndi	ndi̱i̱n	ndú'	zs_ndiin	1999
ndi̱i̱n	ndiin	ndi	ndú'	zs_ndi2i2n	1999
ndú'	ndi̱i̱n	ndxa̱a̱	nu̱'	zs_ndu13	1999
ndxa̱a̱	ndiin	ndi̱i̱n	ndú'	zs_ndxa2a2	1999
ni	mi	ni'	ní	zs_ni	1999
ni'	ni	ní	nu̱'	zs_ni3	1999
ní	ni	ni'	nu̱'	zs_ni1	1999
nu	ni	nu̱'	ndú'	zs_nu	1999
nu̱'	nu	ñu	ní	zs_nu23	1999
ñu	ñu'	ñú	ñu̱	zs_nyu	1999
ñu'	ñu	ñú	ñu̱	zs_nyu3	1999
ñú	ñu	ñu'	ñu̱	zs_nyu1	1999
ñu̱	ñu	ñu'	ñu̱'	zs_nyu2	1999
ñu̱'	ñu	ñu'	ñu̱	zs_nyu23	1999
ñuu	ñu̱	ñu̱'	ñu	zs_nyuu	1999
ŋa'	ŋá'	ŋa̱'	ŋga	zs_n4a3	1999
ŋá'	ŋa'	ŋa̱'	ŋga	zs_n4a13	1999
ŋa̱'	ŋa'	ŋá'	ŋga	zs_n4a23	1999
ŋga	ŋa'	ŋá'	ŋa̱'	zs_n4ga	1999
on	un	jun	an	zs_on	1999
phu	khu	jtu̱	tsu	zs_phu	1999
pi̱	ni	ri̱'	ti	zs_pi2	1999
ra	ra̱	ru	ri̱'	zs_ra	1999
ra̱	ra	ri̱'	ru̱	zs_ra2	1999
ri̱'	ra̱	ru'	ta̱'	zs_ri23	1999
ru	ru'	ru̱	ra̱	zs_ru	1999
ru'	ru	ru̱	ra̱	zs_ru3	1999
ru̱	ru	ru'	ra̱	zs_ru2	1999
ska	sku	kha	khu	zs_ska	1999
sku	ska	tsu	khu	zs_sku	1999
tá	ta̱'	tha	ti	zs_ta1	1999
ta̱'	tá	tha	na	zs_ta23	1999
tha	ska	ti	tá	zs_tha	1999
ti	tá	mi	gi	zs_ti	1999
tsáá'	tsu̱u̱n'	ndxa̱a̱	jmbáa	zs_tsa1a13	1999
tsí	tsi̱	tsu	tsu̱	zs_tsi1	1999
tsi̱	tsí	tsu	tsu̱	zs_tsi2	1999
tsu	tsí	tsi̱	tsu̱	zs_tsu	1999
tsu̱	tsi̱	tsu	tsu̱'	zs_tsu2	1999
tsu̱'	tsu̱	tsu	tsi̱	zs_tsu23	1999
tsún'	tsu̱'	tsu̱u̱n'	tsu̱	zs_tsu1n3	1999
tsu̱u̱n'	tsún'	khu̱u̱n'	tsu̱'	zs_tsu2u2n3	1999
u	ú	u̱	u̱'	zs_u	1999
ú	u	u̱	u̱'	zs_u1	1999
u̱	u	ú	u̱'	zs_u2	1999
u̱'	u	ú	u̱	zs_u23	1999
un	úun	u̱u̱n	u	zs_un	1999
úun	un	u̱u̱n	ú	zs_u1un	1999
u̱u̱n	un	úun	u̱	zs_u2u2n	1999
wa	wa'	wá	wa̱	zs_wa	1999
wa'	wa	wá	wa̱	zs_wa3	1999
wá	wa	wa'	wa̱	zs_wa1	1999
wa̱	wa̱'	wá	wa'	zs_wa2	1999
wa̱'	wa̱	wa'	wa̱	zs_wa23	1999
wan	wan'	wán'	wa	zs_wan	1999
wan'	wan	wán'	wa	zs_wan3	1999
wán'	wan	wan'	wá	zs_wa1n3	1999
wi	wí	wí'	xi	zs_wi	1999
wí	wi	wí'	xí	zs_wi1	1999
wí'	wi	wí	xí	zs_wi13	1999
xa	xa'	xá	xa̱	zs_xa	1999
xa'	xa	xá	xa̱	zs_xa3	1999
xá	xa	xa'	xa̱	zs_xa1	1999
xa̱	xa	xa'	xá	zs_xa2	1999
xe	xa	xa'	xá	zs_xe	1999
xi	xí	xi̱	xki̱	zs_xi	1999
xí	xi̱	xi	xki̱'	zs_xi1	1999
xi̱	xki̱	xi	xí	zs_xi2	1999
xka'	xka̱	xki̱	xki̱'	zs_xka3	1999
xka̱	xka'	xki̱	xki̱'	zs_xka2	1999
xki̱	xki̱'	xka̱	xi	zs_xki2	1999
xki̱'	xki̱	xka̱	xí	zs_xki23	1999
xkru	xkuun	xndú	xki̱'	zs_xkru	1999
xkuun	úun	khu̱u̱n'	tsu̱u̱n'	zs_xkuun	1999
xna'	xndú	xtíin	xtá	zs_xna3	1999
xndú	xna'	xkuun	xkru	zs_xndu1	1999
xo	xtá	xté	xtí	zs_xo	1999
xtá	xté	xtí	xtí'	zs_xta1	1999
xté	xtá	xtí	xtí'	zs_xte1	1999
xtí	xté	xtí'	xo	zs_xti1	1999
xtí'	xtí	xtíin	xté	zs_xti13	1999
xtíin	xtí'	xtí	xté	zs_xti1in	1999
xto̱o̱	xo	xtu	xtúun	zs_xto2o2	1999
xtu	xtu'	xtú	xtúun	zs_xtu	1999
xtu'	xtu	xtú	xú	zs_xtu3	1999
xtú	xtu	xtu'	xtúun	zs_xtu1	1999
xtúun	xtú	xú	xtu'	zs_xtu1un	1999
xú	xu̱	xu̱'	xua̱a̱	zs_xu1	1999
xu̱	xú	xu̱'	xua̱a̱	zs_xu2	1999
xu̱'	xú	xu̱	xua̱a̱	zs_xu23	1999
xua̱a̱	xtúun	xú	xu̱'	zs_xua2a2	1999
ya	ya'	ya̱a̱'	ye	zs_ya	1999
ya'	ya	ya̱a̱'	ye	zs_ya3	1999
ya̱a̱'	xua̱a̱	ya	ya'	zs_ya2a23	1999
ye	ya	ya'	ya̱a̱'	zs_ye	1999
yi̱i̱'	ya'	yu'	yú	zs_yi2i23	1999
yu'	yi̱i̱'	ya'	yú	zs_yu3	1999
yú	yu'	yú'	yu̱	zs_yu1	1999
yú'	yu'	yú	yu̱	zs_yu13	1999
yu̱	yu'	yú	yú'	zs_yu2	1999
